"JourJ"	"Annee"	"Mois"	"Jour"	"Tmin"	"Tmax"	"ETP"	"RAD"	"Pluie"
61	2008	3	1	10.2	15.5	2.9	11.22	0
62	2008	3	2	5.3	17.5	1.7	14.56	0
63	2008	3	3	8.2	13.5	1.7	5.71	2
64	2008	3	4	2	4.5	1	5.56	3.9
65	2008	3	5	0.5	5.5	2.3	8.3	0
66	2008	3	6	-3.2	8.5	1.5	14.93	0
67	2008	3	7	-1.1	7.6	0.4	6.31	3.3
68	2008	3	8	3.8	10.2	1.3	9.19	0
69	2008	3	9	-0.4	12	1.3	7.25	0
70	2008	3	10	1.4	11	1.5	7.8	1.1
71	2008	3	11	5.5	13.6	1.5	10.51	3.1
72	2008	3	12	11.2	15	3.3	16.5	0
73	2008	3	13	4.4	14	1.5	10.1	0
74	2008	3	14	4.8	17.5	2.2	13.95	0
75	2008	3	15	3.2	21.6	2.6	9.59	1.1
76	2008	3	16	8.4	13	2.6	9.98	3.6
77	2008	3	17	6.7	8.4	1	5.96	0
78	2008	3	18	2.7	9	2.3	17.1	0
79	2008	3	19	-4.2	7	1	11.31	0
80	2008	3	20	-2.1	7.6	0.9	10.6	0.5
81	2008	3	21	4	7	1.4	6.49	14.6
82	2008	3	22	0.5	7.5	1.2	13.31	1.6
83	2008	3	23	1	4.5	1.6	10.91	2.6
84	2008	3	24	-1.5	5	0.6	13.38	5.4
85	2008	3	25	1.5	8.5	1.6	9.18	2.7
86	2008	3	26	0.2	12	1.3	7.92	1.7
87	2008	3	27	2.5	11	2.1	14.42	0
88	2008	3	28	0	13.5	1.4	10.97	0.7
89	2008	3	29	2.2	16.5	2.7	21.59	0
90	2008	3	30	5.5	17.6	3	13.08	9.2
91	2008	3	31	3.4	15	2.4	16.69	0
92	2008	4	1	1	16.2	1.7	20.55	0
93	2008	4	2	9.8	15.5	2.5	14.18	0.3
94	2008	4	3	9.8	14.5	2.5	8.88	1.2
95	2008	4	4	1	14	2	21.95	0
96	2008	4	5	0.3	16.5	1.9	21.34	0
97	2008	4	6	4	11	2.2	9.39	1.9
98	2008	4	7	-3.2	9.5	2.3	23.84	0
99	2008	4	8	1	12.5	1.4	8.43	0
100	2008	4	9	8	14.5	1.6	10.04	16.9
101	2008	4	10	6.7	13.3	0.8	5.83	6.2
102	2008	4	11	6.5	11.6	1.9	9.58	5.2
103	2008	4	12	1.4	15.6	1.9	15.61	0
104	2008	4	13	5	15.8	2.6	19.21	8.2
105	2008	4	14	5.8	11.5	2.2	12.24	4.2
106	2008	4	15	2.6	13	2	16.67	0
107	2008	4	16	-2	12.5	2.4	21.36	0
108	2008	4	17	3.5	13.2	1.9	7.17	6.1
109	2008	4	18	2.5	14	1.3	9.95	6.4
110	2008	4	19	7.1	18.6	3.7	19.68	0
111	2008	4	20	9.6	15.2	2.6	4.56	6.7
112	2008	4	21	7.8	16.2	2.4	12.81	0.2
113	2008	4	22	7.6	15	1.6	8.58	0
114	2008	4	23	10	18.5	2.5	14.42	0.8
115	2008	4	24	5.6	19.5	2.9	19.88	0
116	2008	4	25	6.6	18.5	2.7	23.74	0
117	2008	4	26	3.5	21.6	3.2	25.22	0
118	2008	4	27	7	26	3.9	21.38	5
119	2008	4	28	10.6	11.5	1.3	2.57	17
120	2008	4	29	4.6	16.4	2.8	18.61	2
121	2008	4	30	6.8	14	2.4	17	0
122	2008	5	1	3.2	17.6	2.8	18.76	0
123	2008	5	2	3.6	21.5	3.2	20.21	0
124	2008	5	3	8	25.5	3.9	25.17	0
125	2008	5	4	8.7	26	4	23.36	0
126	2008	5	5	9.6	23.6	3.3	18.4	0
127	2008	5	6	9.1	22.5	3	15.18	0
128	2008	5	7	9.3	24.6	3.9	26.27	0
129	2008	5	8	9.6	26.6	4.9	25.96	0
130	2008	5	9	9.6	22	2.4	15.07	0.7
131	2008	5	10	12	24.6	4.1	23.14	0
132	2008	5	11	11.4	25.6	4.4	20.92	0
133	2008	5	12	7.6	23.5	3.7	23.95	13
134	2008	5	13	8.7	24.5	3.4	25.78	0
135	2008	5	14	12	23.6	3.5	22.21	4.1
136	2008	5	15	12.4	19.5	2.6	12.27	21.8
137	2008	5	16	10.2	20.5	1.9	12.94	19.2
138	2008	5	17	11	20.5	3.1	16.49	0.4
139	2008	5	18	11.5	20.1	3.2	19.64	0
140	2008	5	19	7.2	19.5	2.1	20.39	0.3
141	2008	5	20	7.6	19.5	2.2	19.93	4.3
142	2008	5	21	6.5	19.7	2.4	20.37	0
143	2008	5	22	8.4	20.2	3.1	23.99	0
144	2008	5	23	10	22.2	3.2	18.15	3.6
145	2008	5	24	12.6	22.6	2.9	9.1	13.3
146	2008	5	25	10	18.6	1.6	7.7	14.2
147	2008	5	26	13.6	20.5	1.8	11.88	25.1
148	2008	5	27	14	22.5	2.6	9.03	17.3
149	2008	5	28	13.2	22	3	17.73	6.2
150	2008	5	29	13	22.2	2.3	17.39	2.6
151	2008	5	30	15.2	22	2.1	11.16	5.3
152	2008	5	31	13.2	22.2	2.3	12.51	7.2
153	2008	6	1	12.2	17.2	1.5	5.49	4.9
154	2008	6	2	13.6	20.5	3.1	19.44	0
155	2008	6	3	13.2	19.2	2.3	12.54	0
156	2008	6	4	11.2	22.2	3.3	22.05	1
157	2008	6	5	9	14.8	1.1	4.95	24.7
158	2008	6	6	11.2	16.2	1.4	9.21	4
159	2008	6	7	9.2	14.5	1.6	9.03	14.3
160	2008	6	8	11.5	17.2	1.8	3.52	0.3
161	2008	6	9	13.6	25.5	4.2	22.04	1.3
162	2008	6	10	12.6	25.5	3.5	23.25	0
163	2008	6	11	13.5	22.6	2.6	13.52	1.5
164	2008	6	12	12.6	22	4.1	22.13	4
165	2008	6	13	7.8	16.5	2.6	20.16	0
166	2008	6	14	4.5	18.6	3	24.23	1.2
167	2008	6	15	11.7	15	1.7	9.76	1.9
168	2008	6	16	11.6	15.5	1.5	6.2	6.3
169	2008	6	17	13.3	20.2	2.4	10.51	2.9
170	2008	6	18	10.6	23.6	4.2	25.72	0
171	2008	6	19	10.6	27	4.6	26.76	0
172	2008	6	20	13.4	27.3	4.4	27.01	0
173	2008	6	21	15.7	30	5.4	29.82	0
174	2008	6	22	18.5	29	4.4	26.8	0
175	2008	6	23	17.6	31	5.5	26.78	0
176	2008	6	24	19	30	5	22.1	0
177	2008	6	25	17.6	25.5	3.4	19.92	0
178	2008	6	26	12.5	28.5	4.7	29.82	0
179	2008	6	27	16.5	26	5.5	27.97	0
180	2008	6	28	12	27.5	4.8	30.08	0
181	2008	6	29	13.1	29	4.7	27.38	0
182	2008	6	30	17.8	27.6	5.3	26.45	0
183	2008	7	1	13.2	32	5.2	28.87	10.6
184	2008	7	2	12.8	30	4.7	18.25	73.6
185	2008	7	3	14.8	20.4	2.4	12.96	5
186	2008	7	4	9.8	24.2	3.9	28.84	0
187	2008	7	5	13.8	27.5	3.8	21.66	2.8
188	2008	7	6	14.3	19.6	2.5	10.31	8.2
189	2008	7	7	12.2	20.6	4	16.92	0
190	2008	7	8	12.4	20.6	3	20.93	0
191	2008	7	9	10.6	27.5	4.6	30.01	0
192	2008	7	10	13.3	30	5	26.14	0
193	2008	7	11	15.6	22	2.5	21.39	4.1
194	2008	7	12	13.6	23	3.3	15.27	1.6
195	2008	7	13	14.9	18.6	2.3	13.38	9.4
196	2008	7	14	7.8	22	3.8	26.01	0
197	2008	7	15	8	25	4.2	30.17	0
198	2008	7	16	11.2	27.2	4.4	26.52	0
199	2008	7	17	16.2	23.5	3.1	11.05	0
200	2008	7	18	10.5	25.6	4.6	25.71	0
201	2008	7	19	12.6	30	4.6	29	0
202	2008	7	20	15.6	25	5	23.88	0
203	2008	7	21	9.2	21.2	3.2	20.7	0
204	2008	7	22	7.2	23	3.8	29.12	0
205	2008	7	23	7.5	26.2	4.2	29.33	0
206	2008	7	24	8.8	28	4.2	25.65	0
207	2008	7	25	17.3	25	3	14.6	4.8
208	2008	7	26	15.8	26.2	3	15.6	0
209	2008	7	27	13.2	29	4.1	26.81	0
210	2008	7	28	14.9	31.6	5.2	25.06	8.2
211	2008	7	29	18	24.2	2.1	10.59	0
212	2008	7	30	16.1	30	4	19.35	1.4
213	2008	7	31	16.7	31.8	4.8	21.41	8.7
214	2008	8	1	18	20.6	1.7	4.13	8.3
215	2008	8	2	12.4	25	2.7	19.54	0.4
216	2008	8	3	17.5	28.4	4.2	23.2	0
217	2008	8	4	17.4	27.5	3.7	22.46	0
218	2008	8	5	17.2	27.7	4.5	27.57	0
219	2008	8	6	15.7	31	4.5	19.15	0.4
220	2008	8	7	18.4	26.8	4.4	20.85	0
221	2008	8	8	15.2	25.4	5.2	22.68	0
222	2008	8	9	13	25	4	25.36	0
223	2008	8	10	11.4	29.5	4.3	26.82	0
224	2008	8	11	15.5	22.6	2	8.78	1.6
225	2008	8	12	17.3	27.6	3.2	8.7	2.9
226	2008	8	13	12.7	22.5	4.1	22.52	0
227	2008	8	14	10.5	18.6	2	10.02	9
228	2008	8	15	12	21	3.1	16.4	3.6
229	2008	8	16	8.1	22.4	2.5	16.24	0
230	2008	8	17	14.2	23	2.7	13.27	0.5
231	2008	8	18	12.2	31.2	4.9	24.79	0
232	2008	8	19	17	19	1.7	4.82	6.8
233	2008	8	20	13.5	21.6	2.5	12.55	0
234	2008	8	21	11	25.6	3.9	23.86	0
235	2008	8	22	13.2	21.5	2.7	11.25	9.4
236	2008	8	23	13	21	2.8	11.65	0
