"JourJ"	"Annee"	"Mois"	"Jour"	"Tmin"	"Tmax"	"ETP"	"RAD"	"Pluie"
237	2008	8	24	9.2	21.6	3.2	21.75	0.9
238	2008	8	25	13.6	23.6	2.8	16.72	0
239	2008	8	26	11.6	24.2	3.1	17.71	0
240	2008	8	27	10.3	26	3.2	21.65	0
241	2008	8	28	13.6	26.2	3.5	23.1	0
242	2008	8	29	9.6	26.6	3.2	23.44	0
243	2008	8	30	9.8	31.6	3.9	22.98	0
244	2008	8	31	17.4	29	3.5	16.58	5.5
245	2008	9	1	15.8	22.2	2.4	11.59	0
246	2008	9	2	11	26.8	3.2	18.26	0
247	2008	9	3	16.6	19.5	1.4	9.42	4.4
248	2008	9	4	14.1	18.7	1.7	10.14	15.1
249	2008	9	5	13.3	29.4	3	14.45	3
250	2008	9	6	15.2	18.5	1.7	4.4	2.6
251	2008	9	7	10.6	21.6	2.3	18.39	0
252	2008	9	8	9.2	26.6	3.5	21.96	0
253	2008	9	9	11	26	2.4	10.11	0.3
254	2008	9	10	15	26.6	3.5	20.05	0
255	2008	9	11	15.4	31.2	4.2	15	22.3
256	2008	9	12	11.6	19.6	2.2	11.61	0
257	2008	9	13	11.4	18.4	1.8	12.91	7.1
258	2008	9	14	11.2	18.6	3	15.13	0
259	2008	9	15	5.8	17	2.1	18.09	0
260	2008	9	16	3.3	16.5	1.8	18.21	0
261	2008	9	17	2	18.5	1.6	18.04	0
262	2008	9	18	7.6	19.5	1.1	8.88	0
263	2008	9	19	10.5	19.5	2.2	10.72	0
264	2008	9	20	6.2	19.7	1.7	16.77	0
265	2008	9	21	3.7	16.6	1.7	17.95	0
266	2008	9	22	3.4	18.6	2	17.32	0
267	2008	9	23	4.6	19	1.8	14.65	0
268	2008	9	24	2.6	17.5	1.6	15.75	0
269	2008	9	25	5.2	17	1.2	11.32	0
270	2008	9	26	5.6	15.2	1.1	8.21	0
271	2008	9	27	1.2	17.4	1.5	16.96	0
272	2008	9	28	2.4	18.6	1.6	17.04	0
273	2008	9	29	4.2	21	1.8	17.21	0
274	2008	9	30	8.6	17.6	1.8	13.57	0
